id,product,review,category
1,Wheat Seeds,"The wheat seeds gave an excellent yield this season, very happy!",seeds
2,Fertilizer NPK,"The fertilizer completely burned my crops, total loss.",fertilizer
3,Drip Irrigation Kit,"Works okay, nothing special about the kit.",irrigation
4,Organic Pesticide,"Fantastic product! My farm is completely pest free now.",pesticide
5,Hybrid Rice Seeds,"The rice seeds did not germinate properly, very disappointed.",seeds
6,Soil Testing Kit,"Good quality kit, easy to use and accurate results.",soil
7,Compost Manure,"Terrible quality manure, waste of money.",fertilizer
8,Sprinkler System,"Average system, water pressure could be better.",irrigation
9,Crop Protection Net,"Excellent protection from birds! Highly recommend to every farmer.",other
10,Potassium Fertilizer,"Didn't see any improvement in crop growth at all.",fertilizer
11,Tomato Seeds,"Best tomato seeds I have ever used, great germination rate!",seeds
12,Water Pump,"The pump broke down after 2 uses, very poor quality.",other
13,Bio Pesticide,"Reasonably good performance for organic farming needs.",pesticide
14,Drip Tape,"The drip tape leaked after one week, not worth the price.",irrigation
15,Vegetable Seeds Mix,"Great variety of seeds, all germinated well and grew strong!",seeds
16,Neem Oil Spray,"Superb organic solution, completely eliminated pests without chemicals!",pesticide
17,Paddy Seeds,"Paddy seeds had very low germination. Extremely disappointed.",seeds
18,Solar Water Pump,"Amazing solar pump, saves electricity and works perfectly all day.",irrigation
19,DAP Fertilizer,"Good fertilizer but the packaging was damaged on arrival.",fertilizer
20,Greenhouse Net,"Perfect greenhouse net, excellent build quality and easy to install.",other
