"id","product","review","category"
"1","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"2","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"3","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"4","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"5","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"6","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"7","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"8","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"9","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"10","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"11","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"12","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"13","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"14","Compost Manure","Terrible quality manure","waste of money."""""
"15","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"16","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"17","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"18","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"19","Sprinkler System","Average system","water pressure could be better."""""
"20","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"21","Compost Manure","Terrible quality manure","waste of money."""""
"22","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"23","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"24","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"25","Compost Manure","Terrible quality manure","waste of money."""""
"26","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"27","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"28","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"29","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"30","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"31","Compost Manure","Terrible quality manure","waste of money."""""
"32","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"33","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"34","Compost Manure","Terrible quality manure","waste of money."""""
"35","Sprinkler System","Average system","water pressure could be better."""""
"36","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"37","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"38","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"39","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"40","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"41","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"42","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"43","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"44","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"45","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"46","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"47","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"48","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"49","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"50","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"51","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"52","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"53","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"54","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"55","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"56","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"57","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"58","Sprinkler System","Average system","water pressure could be better."""""
"59","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"60","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"61","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
