"id","product","review","category"
"1","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"2","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"3","Sprinkler System","Average system","water pressure could be better."""""
"4","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"5","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"6","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"7","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"8","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"9","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"10","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"11","Sprinkler System","Average system","water pressure could be better."""""
"12","Sprinkler System","Average system","water pressure could be better."""""
"13","Sprinkler System","Average system","water pressure could be better."""""
"14","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"15","Sprinkler System","Average system","water pressure could be better."""""
"16","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"17","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"18","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"19","Sprinkler System","Average system","water pressure could be better."""""
"20","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"21","Sprinkler System","Average system","water pressure could be better."""""
"22","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"23","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"24","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"25","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"26","Sprinkler System","Average system","water pressure could be better."""""
"27","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"28","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"29","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"30","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"31","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"32","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"33","Sprinkler System","Average system","water pressure could be better."""""
"34","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"35","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"36","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"37","Sprinkler System","Average system","water pressure could be better."""""
"38","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"39","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"40","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"41","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"42","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"43","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"44","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"45","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"46","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"47","Compost Manure","Terrible quality manure","waste of money."""""
"48","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"49","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"50","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"51","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"52","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"53","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"54","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"55","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"56","Sprinkler System","Average system","water pressure could be better."""""
"57","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"58","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"59","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"60","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"61","Sprinkler System","Average system","water pressure could be better."""""
"62","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"63","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"64","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"65","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"66","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"67","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"68","Sprinkler System","Average system","water pressure could be better."""""
"69","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"70","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"71","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"72","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"73","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"74","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"75","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"76","Sprinkler System","Average system","water pressure could be better."""""
"77","Compost Manure","Terrible quality manure","waste of money."""""
"78","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"79","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"80","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"81","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"82","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"83","Sprinkler System","Average system","water pressure could be better."""""
"84","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"85","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"86","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"87","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"88","Sprinkler System","Average system","water pressure could be better."""""
"89","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"90","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"91","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"92","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"93","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"94","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"95","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"96","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"97","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"98","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"99","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"100","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"101","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"102","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"103","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"104","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"105","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"106","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"107","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"108","Compost Manure","Terrible quality manure","waste of money."""""
"109","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"110","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"111","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"112","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"113","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"114","Sprinkler System","Average system","water pressure could be better."""""
"115","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"116","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
